raw_word;naive_trans;spec_trans;
brass;брасс;брасс;
complex;cомплех;комплекс;
demix;демих;демикс;
tennis;теннис;теннис;
tennis;теннис;теннис;
form;форм;форм;
training;траининг;траининг;
tennis;теннис;теннис;
last;ласт;ласт;
mask;маск;маск;
brake;браке;брейк;
termit;термит;термит;
penny;пенни;пенни;
press;пресс;пресс;
tent;тент;тент;
disk;диск;диск;
bax;бах;бакс;
sport;спорт;спорт;
salomon;саломон;сейломон;
torneo;торнео;торни;
cobra;cобра;кобра;
demix;демих;демикс;
sandal;сандал;сандол;
basketball;баскетбалл;баскетбол;
futsal;футсал;фатсол;
remain;ремаин;ремаин;
stepper;степпер;степпер;
cardio;cардио;кардио;
snowboard;сновбоард;сноуборд;
sambo;самбо;самбо;
golf;голф;голф;
krok;крок;крок;
basketball;баскетбалл;баскетбол;
grid;грид;грид;
strk;стрк;стрк;
balance;баланcе;баланс;
remain;ремаин;ремаин;
pilates;пилатес;пилейтес;
tennis;теннис;теннис;
stern;стерн;стерн;
trekker;треккер;треккер;
surfing;сурфинг;сарфинг;
satila;сатила;сатила;
molten;молтен;молтен;
mercurial;мерcуриал;меркьюриол;
board;боард;борд;
protein;протеин;протеин;
sport;спорт;спорт;
sport;спорт;спорт;
spine;спине;спин;
balance;баланcе;баланс;
cruiser;cруисер;круизер;
vans;ванс;ванс;
karmen;кармен;кармен;
volk;волк;волк;
tiempo;тиемпо;тимпо;
salomon;саломон;сейломон;
graf;граф;граф;
trekking;треккинг;треккинг;
parka;парка;парка;
graf;граф;граф;
smart;смарт;смарт;
everlast;эверласт;эверласт;
spine;спине;спин;
mirella;мирелла;мирелла;
anorak;анорак;анорак;
futsal;футсал;фатсол;
board;боард;борд;
sandal;сандал;сандол;
compression;cомпрессион;компрешн;
demix;демих;демикс;
crete;cрете;крет;
niki;ники;ники;
reakt;реакт;реакт;
cruiser;cруисер;круизер;
basket;баскет;баскет;
pilates;пилатес;пилейтес;
pink;пинк;пинк;
salomon;саломон;сейломон;
demix;демих;демикс;
dynamo;динамо;динеймо;
platform;платформ;платформ;
board;боард;борд;
support;суппорт;саппорт;
compression;cомпрессион;компрешн;
zenit;зенит;зенит;
spartak;спартак;спартак;
outventure;оутвентуре;аутвенчур;
boxer;бохер;боксер;
trekking;треккинг;треккинг;
parka;парка;парка;
board;боард;борд;
crossfit;cроссфит;кроссфит;
stern;стерн;стерн;
dynamic;динамиc;динеймик;
bandana;бандана;бандейна;
stells;стеллс;стеллс;
neymar;неимар;неимар;
kettler;кеттлер;кеттлер;
babolat;баболат;бейболат;
giant;гиант;джиант;
crossfit;cроссфит;кроссфит;
disk;диск;диск;
arena;арена;арена;
stern;стерн;стерн;
roller;роллер;роллер;
longboard;лонгбоард;лонгборд;
prem;прем;прем;
form;форм;форм;
mizuno;мизуно;мизуно;
tourist;тоурист;турист;
stells;стеллс;стеллс;
focus;фоcус;фокас;
tourist;тоурист;турист;
demix;демих;демикс;
glissade;глиссаде;глиссаде;
atemi;атеми;атеми;
boxing;бохинг;боксинг;
nika;ника;ника;
parka;парка;парка;
volk;волк;волк;
stepper;степпер;степпер;
softshell;софтшелл;софтшелл;
manchester;манчестер;манчестер;
service;сервиcе;сервис;
vapor;вапор;вейпор;
longboard;лонгбоард;лонгборд;
axis;ахис;аксис;
dynamic;динамиc;динеймик;
banana;банана;банана;
anorak;анорак;анорак;
support;суппорт;саппорт;
atlant;атлант;атлант;
trekker;треккер;треккер;
robot;робот;робот;
player;плаиер;плейер;
demix;демих;демикс;
roller;роллер;роллер;
stern;стерн;стерн;
stark;старк;старк;
uv;ув;юв;
bauer;бауер;бауер;
longboard;лонгбоард;лонгборд;
lider;лидер;лидер;
sport;спорт;спорт;
alaska;аласка;аласка;
boxer;бохер;боксер;
tiempo;тиемпо;тимпо;
everlast;эверласт;эверласт;
crossfit;cроссфит;кроссфит;
protest;протест;протест;
metropolis;метрополис;метрополис;
zebra;зебра;зебра;
roller;роллер;роллер;
kettler;кеттлер;кеттлер;
antifog;антифог;антифог;
capri;cапри;капри;
mini;мини;мини;
volk;волк;волк;
sinai;синаи;синаи;
dusters;дустерс;дастерс;
anorak;анорак;анорак;
bomber;бомбер;бомбер;
shimano;шимано;шимейно;
platform;платформ;платформ;
zenit;зенит;зенит;
tent;тент;тент;
micro;миcро;микро;
torneo;торнео;торни;
cortez;cортез;кортез;
anorak;анорак;анорак;
bravo;браво;брейво;
drift;дрифт;дрифт;
spinner;спиннер;спиннер;
demi;деми;деми;
glissade;глиссаде;глиссаде;
kyra;кира;кира;
profile;профиле;профил;
anorak;анорак;анорак;
stress;стресс;стресс;
support;суппорт;саппорт;
street;стреет;стрит;
laguna;лагуна;лагуна;
penny;пенни;пенни;
babolat;баболат;бейболат;
stern;стерн;стерн;
boxer;бохер;боксер;
stiga;стига;стига;
tires;тирес;терес;
tires;тирес;терес;
board;боард;борд;
motor;мотор;мотор;
sport;спорт;спорт;
sibir;сибир;сибер;
stells;стеллс;стеллс;
stark;старк;старк;
crazy;cрази;крейзи;
first;фирст;фиршт;
trekking;треккинг;треккинг;
tiempo;тиемпо;тимпо;
trekker;треккер;треккер;
original;оригинал;ориджинол;
marvel;марвел;марвел;
parka;парка;парка;
torneo;торнео;торни;
predator;предатор;предейтор;
roces;роcес;росес;
sable;сабле;сабл;
cargo;cарго;карго;
mizuno;мизуно;мизуно;
demix;демих;демикс;
bauer;бауер;бауер;
demix;демих;демикс;
vento;венто;венто;
polyester;полиестер;полестер;
pilates;пилатес;пилейтес;
torneo;торнео;торни;
pilates;пилатес;пилейтес;
finger;фингер;финджер;
penny;пенни;пенни;
motion;мотион;мошен;
scale;сcале;скейл;
penny;пенни;пенни;
trekking;треккинг;треккинг;
muscle;мусcле;маскл;
polo;поло;поло;
boxer;бохер;боксер;
stells;стеллс;стеллс;
extreme;эхтреме;экстрем;
box;бох;бокс;
bosu;босу;босу;
denim;деним;деним;
ascona;асcона;аскона;
monodome;монодоме;монодоме;
chelsea;челсеа;челси;
aerofit;аерофит;аерофит;
nylon;нилон;нилон;
magista;магиста;маджиста;
sport;спорт;спорт;
donic;дониc;доник;
coleman;cолеман;колеман;
surfing;сурфинг;сарфинг;
compress;cомпресс;компресс;
support;суппорт;саппорт;
board;боард;борд;
mirella;мирелла;мирелла;
volk;волк;волк;
retro;ретро;ретро;
oxelo;охело;оксело;
mikasa;микаса;микаса;
penny;пенни;пенни;
polyester;полиестер;полестер;
outventure;оутвентуре;аутвенчур;
amaster;амастер;амастер;
box;бох;бокс;
zenit;зенит;зенит;
dakine;дакине;дакине;
torneo;торнео;торни;
twister;твистер;твистер;
basketball;баскетбалл;баскетбол;
abudo;абудо;абьюдо;
trainer;траинер;траинер;
nike;нике;нике;
massage;массаге;массадже;
denix;дених;деникс;
visor;висор;визор;
mike;мике;мике;
bax;бах;бакс;
salomon;саломон;сейломон;
presta;преста;преста;
kettler;кеттлер;кеттлер;
mirella;мирелла;мирелла;
metallic;металлиc;метолик;
legend;легенд;ледженд;
mystic;мистиc;мистик;
legend;легенд;ледженд;
inita;инита;инита;
demix;демих;демикс;
babolat;баболат;бейболат;
strk;стрк;стрк;
sport;спорт;спорт;
kinvara;кинвара;кинвейра;
penny;пенни;пенни;
craft;cрафт;крафт;
cruiser;cруисер;круизер;
atomic;атомиc;атомик;
multi;мулти;малти;
smarta;смарта;смарта;
torneo;торнео;торни;
bomber;бомбер;бомбер;
mizuno;мизуно;мизуно;
goretex;горетех;горетекс;
stells;стеллс;стеллс;
glissade;глиссаде;глиссаде;
pilates;пилатес;пилейтес;
skate;скате;скейт;
montana;монтана;монтейна;
tritan;тритан;тритан;
grizzly;гриззли;гриззли;
naked;накед;нейкед;
brake;браке;брейк;
hike;хике;хике;
spinner;спиннер;спиннер;
polyester;полиестер;полестер;
softshell;софтшелл;софтшелл;
siren;сирен;серен;
uvex;увех;ювекс;
trail;траил;траил;
format;формат;формат;
adventure;адвентуре;адвенчур;
deimos;деимос;деимос;
hypervenom;хипервеном;хипервеном;
volk;волк;волк;
oregon;орегон;орегон;
batman;батман;батман;
festa;феста;феста;
pull;пулл;палл;
training;траининг;траининг;
cortez;cортез;кортез;
alpinisme;алпинисме;алпинисм;
