brand,alias
truss,трусс,en
shirt,ширт,en
pullover,пулловер,en
unisexe,унисехе,en
unisexe,юнизекс,en
parka,парка,en
bracelet,браcелет,en
bracelet,брейселет,en
trench,тренч,en
parka,парка,en
barret,баррет,en
bello,белло,ita
rimini,римини,ita
clutch,cлутч,en
clutch,клутч,en
ralph,ралф,en
sonia,сониа,en
chinos,чинос,en
maxmara,махмара,en
maxmara,максмейра,en
polo,поло,ita
dolche,долче,en
dolche,долч,en
stone,стоне,en
stone,стон,en
elena,элена,en
shopper,шоппер,en
stuart,стуарт,en
barret,баррет,en
elise,элисе,en
elise,элиз,en
safari,сафари,ita
barret,баррет,en
elema,элема,en
isosoft,исософт,en
isosoft,изозофт,en
kors,корс,en
blackglama,блакглама,ger
elema,элема,en
malinardi,малинарди,en
malinardi,мейлинарди,en
blackglama,блакглама,ger
shopper,шоппер,en
polyester,полиестер,en
polyester,полестер,en
mocca,моccа,ita
mocca,моцца,ita
zilli,зилли,ita
ananas,ананас,en
ananas,анейнас,en
levis,левис,en
selma,селма,en
sonia,сониа,en
polyamide,полямиде,en
polyamide,полямид,en
levis,левис,en
diana,диана,en
nubuck,нубук,en
liverpool,ливерпол,en
liverpool,ливерпул,en
burgundy,бургунди,en
rubin,рубин,en
riema,риема,en
riema,рима,en
musk,муск,en
lessy,лесси,en
ballerina,баллерина,ita
emilie,эмилие,en
emilie,эмили,en
surprise,сурприсе,en
surprise,сюрприз,en
kari,кари,jap
melange,меланге,en
melange,меландж,en
alexa,алеха,en
alexa,алекса,en
polo,поло,ita
kuoma,куома,en
lessy,лесси,en
chikago,чикаго,en
chikago,чикейго,en
monica,мониcа,ita
monica,моника,ita
lisa,лиса,ita
microfibre,миcрофибре,en
microfibre,микрофибр,en
spencer,спенcер,en
spencer,спенсер,en
patch,патч,en
bogner,богнер,en
kari,кари,jap
shopper,шоппер,en
elena,элена,en
teflon,тефлон,en
libera,либера,jap
milano,милано,ita
joanna,йоанна,en
joanna,джоанна,en
polyester,полиестер,en
polyester,полестер,en
polyamide,полямиде,en
polyamide,полямид,en
garret,гаррет,en
simone,симоне,en
simone,симон,en
sneakers,снеакерс,en
sneakers,сникерс,en
gazelle,газелле,ita
lilou,лилоу,en
assasin,ассасин,en
assasin,ассейзин,en
polo,поло,ita
tartan,тартан,en
ananas,ананас,en
ananas,анейнас,en
kuoma,куома,en
bottega,боттега,ita
bottega,боттега,ita
stuart,стуарт,en
premiata,премиата,en
bottega,боттега,ita
graff,графф,en
graff,графф,en
rolex,ролех,en
rolex,ролекс,en
cavalli,cавалли,ita
cavalli,кавалли,ita
tahari,тахари,ita
refill,рефилл,en
colorblock,cолорблок,en
colorblock,колорблок,en
monnalisa,монналиса,en
monnalisa,моннейлиза,en
tribute,трибуте,en
tribute,трибут,en
preppy,преппи,en
maloo,мало,en
maloo,мейлу,en
chevron,чеврон,en
cardinale,cардинале,en
cardinale,кардинейл,en
alfredo,алфредо,en
helena,хелена,jap
celine,cелине,en
celine,селин,en
coriander,cориандер,en
coriander,кориандер,en
russo,руссо,ita
koishimaru,коишимару,jap
elena,элена,en
instagram,инстаграм,ger
instagram,инштаграм,ger
gallina,галлина,ita
pamela,памела,jap
galla,галла,ita
doriani,дориани,en
irina,ирина,en
sandy,санди,en
cambru,cамбру,en
cambru,камбру,en
freddies,фреддиес,en
freddies,фреддис,en
nominee,номине,en
cambru,cамбру,en
cambru,камбру,en
nominee,номине,en
nominee,номине,en
rabe,рабе,en
