raw_word;trans;
limoni;лимони;
loreal;лореал;
loreal;лореаль;
telescopic;телескопиc;
telescopic;телескопик;
mosaic;мосаиc;
mosaic;мозаик;
poudre;поудре;
poudre;пудр;
creme;cреме;
creme;крем;
balsam;балсам;
corrector;cорреcтор;
corrector;корректор;
promise;промисе;
promise;промиз;
paste;пасте;
paste;пейст;
pomade;помаде;
pomade;помейд;
tonic;тониc;
tonic;тоник;
patch;патч;
patch;патх;
cushion;cушион;
cushion;кушен;
sponge;спонге;
sponge;спондж;
lumene;лумене;
lumene;люмен;
vinylux;винилух;
vinylux;винилюкс;
keranove;керанове;
keranove;керейнов;
molecule;молеcуле;
molecule;молекюл;
factor;фаcтор;
factor;фактор;
artdeco;артдеcо;
artdeco;артдеко;
fluid;флуид;
fluid;флюид;
carolina;cаролина;
carolina;каролина;
opium;опиум;
cristalle;cристалле;
cristalle;кристалле;
avenue;авенуе;
avenue;авеню;
parfum;парфум;
parfum;парфюм;
million;миллион;
million;миллен;
pomade;помаде;
pomade;помейд;
mizon;мизон;
lauder;лаудер;
lauder;лодер;
loren;лорен;
parfum;парфум;
parfum;парфюм;
creme;cреме;
creme;крем;
loren;лорен;
liner;линер;
gommage;гоммаге;
gommage;гоммадж;
loreal;лореал;
loreal;лореаль;
deodorant;деодорант;
deodorant;дидорант;
mugler;муглер;
antonio;антонио;
banderas;бандерас;
narcotic;нарcотиc;
narcotic;наркотик;
primer;пример;
peeling;пеелинг;
peeling;пилинг;
ballerine;баллерине;
flora;флора;
blonde;блонде;
blonde;блонд;
lifting;лифтинг;
keratin;кератин;
keratin;керейтин;
agent;агент;
agent;аджент;
pomade;помаде;
pomade;помейд;
pigment;пигмент;
bronzer;бронзер;
addict;аддиcт;
addict;аддикт;
rimmel;риммел;
number;нумбер;
brave;браве;
brave;брейв;
antiperspirant;антиперспирант;
pomade;помаде;
pomade;помейд;
shimmer;шиммер;
sculptor;скулптор;
talasso;талассо;
fructis;фруcтис;
fructis;фруктис;
filler;филлер;
collagen;cоллаген;
collagen;колладжен;
peeling;пеелинг;
peeling;пилинг;
spray;спрай;
spray;спрей;
premiere;премиере;
premiere;премьер;
lador;ладор;
lador;лейдор;
toner;тонер;
vanilla;ванилла;
molecule;молеcуле;
molecule;молекюл;
banderas;бандерас;
primer;пример;
anais;анаис;
vitamin;витамин;
vitamin;витеймин;
lumene;лумене;
lumene;люмен;
donna;донна;
extraordinaire;эхтраординаире;
extraordinaire;экстраординаир;
igora;игора;
mosaic;мосаиc;
mosaic;мозаик;
bobbi;бобби;
korres;коррес;
talika;талика;
bust;буст;
pigment;пигмент;
collistar;cоллистар;
collistar;коллистар;
bamboo;бамбоо;
bamboo;бамбу;
indola;индола;
bamboo;бамбоо;
bamboo;бамбу;
cabaret;cабарет;
cabaret;кейбейрет;
lumene;лумене;
lumene;люмен;
intense;интенсе;
intense;интенс;
pump;пумп;
tabac;табаc;
tabac;тейбак;
mascara;маскара;
mascara;маскейра;
extase;эхтасе;
extase;экстейз;
coral;cорал;
coral;корал;
kabuki;кабуки;
beautiful;беаутифул;
beautiful;бьютифул;
benefit;бенефит;
loreal;лореал;
loreal;лореаль;
azzaro;аззаро;
azzaro;аццаро;
collistar;cоллистар;
collistar;коллистар;
isadora;исадора;
isadora;изейдора;
addict;аддиcт;
addict;аддикт;
softner;софтнер;
system;систем;
rimmel;риммел;
ecran;эcран;
ecran;экран;
sorbet;сорбет;
ampoule;ампоуле;
ampoule;ампуле;
smashbox;смашбох;
smashbox;смашбокс;
rimmel;риммел;
tangle;тангле;
tangle;тангл;
isadora;исадора;
isadora;изейдора;
idealist;идеалист;
idealist;идилист;
biolage;биолаге;
biolage;биоладж;
satin;сатин;
satin;сейтин;
tresor;тресор;
tresor;трезор;
barbary;барбари;
barbary;барбейри;
oasis;оасис;
oasis;оазис;
